UserId,VisitMonth,Attraction,UserVisitFrequency,UserHolidayVisitor,UserAttractionVisitCount,UserEngagementScore,UserCountryVariety,UserAttractionVariety,AttractionEngagementScore,UserGroupAffinity,VisitMode
45625,5,Tegalalang Rice Terrace,12,0.1666666666666666,4,53.0,1,7,24156.0,0.0833333333333333,Couples
28835,5,Tegalalang Rice Terrace,1,1.0,1,5.0,1,1,24156.0,0.0,Solo
45643,3,Tegalalang Rice Terrace,6,0.3333333333333333,2,23.0,1,4,24156.0,0.1666666666666666,Solo
44557,5,Tegalalang Rice Terrace,5,0.4,1,18.0,1,5,24156.0,0.2,Couples
85807,5,Tegalalang Rice Terrace,1,1.0,1,5.0,1,1,24156.0,0.0,Couples
59977,5,Tegalalang Rice Terrace,1,1.0,1,5.0,1,1,24156.0,1.0,Friends
60324,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
26066,4,Tegalalang Rice Terrace,2,0.0,1,8.0,1,2,24156.0,1.0,Family
38157,4,Tegalalang Rice Terrace,4,0.0,1,18.0,1,3,24156.0,0.5,Couples
27325,5,Tegalalang Rice Terrace,3,1.0,1,13.0,1,3,24156.0,0.3333333333333333,Couples
44204,5,Tegalalang Rice Terrace,3,1.0,1,14.0,1,3,24156.0,1.0,Friends
35209,5,Tegalalang Rice Terrace,3,1.0,1,12.0,1,3,24156.0,0.0,Couples
19823,5,Tegalalang Rice Terrace,1,1.0,1,5.0,1,1,24156.0,0.0,Couples
4376,5,Tegalalang Rice Terrace,3,0.3333333333333333,1,10.0,1,3,24156.0,1.0,Friends
62875,5,Tegalalang Rice Terrace,2,1.0,1,10.0,1,2,24156.0,0.0,Couples
66061,5,Tegalalang Rice Terrace,3,1.0,2,9.0,1,2,24156.0,1.0,Family
41067,5,Tegalalang Rice Terrace,1,1.0,1,4.0,1,1,24156.0,0.0,Couples
62916,4,Tegalalang Rice Terrace,2,0.0,1,8.0,1,2,24156.0,0.0,Solo
62226,5,Tegalalang Rice Terrace,1,1.0,1,4.0,1,1,24156.0,0.0,Couples
62414,5,Tegalalang Rice Terrace,1,1.0,1,5.0,1,1,24156.0,0.0,Couples
74686,5,Tegalalang Rice Terrace,7,0.2857142857142857,1,27.0,1,5,24156.0,0.2857142857142857,Couples
75546,1,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
7463,4,Tegalalang Rice Terrace,2,0.0,1,9.0,1,2,24156.0,0.0,Couples
48038,4,Tegalalang Rice Terrace,7,0.0,1,32.0,1,5,24156.0,0.5714285714285714,Solo
76872,4,Tegalalang Rice Terrace,4,0.0,2,20.0,1,3,24156.0,0.5,Couples
47945,5,Tegalalang Rice Terrace,1,1.0,1,3.0,1,1,24156.0,0.0,Solo
16471,5,Tegalalang Rice Terrace,2,1.0,1,8.0,1,2,24156.0,1.0,Friends
69523,5,Tegalalang Rice Terrace,4,0.75,1,15.0,1,4,24156.0,1.0,Friends
83813,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Family
65949,5,Tegalalang Rice Terrace,1,1.0,1,4.0,1,1,24156.0,0.0,Couples
1214,5,Tegalalang Rice Terrace,2,1.0,1,9.0,1,2,24156.0,0.0,Couples
24778,4,Tegalalang Rice Terrace,4,0.0,1,20.0,1,4,24156.0,1.0,Family
33557,3,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
80079,4,Tegalalang Rice Terrace,4,0.0,1,10.0,1,4,24156.0,0.0,Couples
19005,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Family
10462,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
39903,4,Tegalalang Rice Terrace,2,0.0,1,6.0,1,2,24156.0,0.0,Couples
2526,4,Tegalalang Rice Terrace,5,0.0,1,20.0,1,3,24156.0,0.4,Couples
37078,4,Tegalalang Rice Terrace,2,0.0,1,9.0,1,2,24156.0,0.5,Friends
73698,4,Tegalalang Rice Terrace,5,0.0,2,20.0,1,4,24156.0,0.0,Couples
12744,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
83171,2,Tegalalang Rice Terrace,4,0.0,2,17.0,1,3,24156.0,0.5,Couples
51246,11,Tegalalang Rice Terrace,6,0.0,3,24.0,1,4,24156.0,1.0,Family
68032,4,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,0.0,Couples
81433,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
26271,4,Tegalalang Rice Terrace,20,0.15,3,81.0,1,10,24156.0,0.15,Couples
74746,4,Tegalalang Rice Terrace,3,0.0,1,12.0,1,3,24156.0,1.0,Family
1537,4,Tegalalang Rice Terrace,3,0.6666666666666666,2,12.0,1,2,24156.0,1.0,Family
13249,4,Tegalalang Rice Terrace,5,0.4,2,25.0,1,4,24156.0,1.0,Family
15187,4,Tegalalang Rice Terrace,2,0.0,1,8.0,1,2,24156.0,0.0,Couples
44993,4,Tegalalang Rice Terrace,6,0.1666666666666666,1,23.0,1,3,24156.0,0.0,Couples
41631,4,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,0.0,Couples
45556,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,1.0,Family
75648,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Solo
63227,4,Tegalalang Rice Terrace,2,0.0,1,8.0,1,2,24156.0,0.0,Couples
267,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
29462,4,Tegalalang Rice Terrace,4,0.0,1,19.0,1,4,24156.0,0.25,Couples
80667,4,Tegalalang Rice Terrace,4,0.25,1,20.0,1,4,24156.0,0.0,Couples
69414,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Couples
45371,4,Tegalalang Rice Terrace,1,0.0,1,3.0,1,1,24156.0,0.0,Couples
83636,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Solo
47971,4,Tegalalang Rice Terrace,2,0.0,2,10.0,1,1,24156.0,0.0,Couples
36193,2,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,1.0,Friends
32344,4,Tegalalang Rice Terrace,4,0.0,1,20.0,1,4,24156.0,1.0,Family
47219,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
32789,4,Tegalalang Rice Terrace,2,0.0,1,8.0,1,2,24156.0,1.0,Family
74403,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Solo
58289,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
59078,4,Tegalalang Rice Terrace,1,0.0,1,3.0,1,1,24156.0,0.0,Couples
24769,4,Tegalalang Rice Terrace,3,0.0,2,15.0,1,2,24156.0,1.0,Friends
65833,4,Tegalalang Rice Terrace,2,0.0,1,7.0,1,2,24156.0,0.0,Couples
87582,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
37479,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
59249,4,Tegalalang Rice Terrace,2,0.0,1,9.0,1,2,24156.0,0.0,Solo
20904,4,Tegalalang Rice Terrace,3,0.0,2,13.0,1,2,24156.0,0.0,Couples
79452,4,Tegalalang Rice Terrace,2,0.0,1,9.0,1,2,24156.0,1.0,Family
5720,3,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,1.0,Family
62803,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
14248,4,Tegalalang Rice Terrace,3,0.0,1,13.0,1,3,24156.0,1.0,Family
71796,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
63786,11,Tegalalang Rice Terrace,8,0.375,2,33.0,1,3,24156.0,0.375,Couples
74800,4,Tegalalang Rice Terrace,2,0.0,1,8.0,1,2,24156.0,1.0,Friends
2119,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Couples
24816,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Solo
64023,4,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,0.0,Solo
77639,8,Tegalalang Rice Terrace,8,0.0,2,35.0,1,4,24156.0,0.25,Solo
51904,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,1.0,Friends
75041,4,Tegalalang Rice Terrace,3,0.0,1,8.0,1,2,24156.0,0.0,Couples
37676,11,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Solo
41392,9,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,1.0,Friends
71986,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
80778,4,Tegalalang Rice Terrace,2,0.0,2,10.0,1,1,24156.0,0.0,Solo
70452,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Family
56290,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
56563,4,Tegalalang Rice Terrace,4,0.0,1,11.0,1,4,24156.0,1.0,Family
63737,4,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,1.0,Family
61174,3,Tegalalang Rice Terrace,4,0.0,1,14.0,1,4,24156.0,0.0,Couples
14730,4,Tegalalang Rice Terrace,4,0.0,2,19.0,1,3,24156.0,0.0,Couples
6773,4,Tegalalang Rice Terrace,2,0.0,1,7.0,1,2,24156.0,0.0,Couples
10296,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Family
23131,4,Tegalalang Rice Terrace,2,0.0,2,10.0,1,1,24156.0,1.0,Friends
34466,11,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
36052,4,Tegalalang Rice Terrace,3,0.0,1,13.0,1,2,24156.0,0.3333333333333333,Friends
43067,2,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
40369,5,Tegalalang Rice Terrace,1,1.0,1,5.0,1,1,24156.0,1.0,Friends
17284,4,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,0.0,Business
81678,4,Tegalalang Rice Terrace,3,0.0,1,13.0,1,3,24156.0,1.0,Family
9180,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
183,3,Tegalalang Rice Terrace,3,0.0,1,14.0,1,3,24156.0,1.0,Friends
28883,4,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,0.0,Solo
11723,4,Tegalalang Rice Terrace,4,0.0,2,19.0,1,3,24156.0,0.0,Solo
79577,3,Tegalalang Rice Terrace,5,0.0,2,23.0,1,3,24156.0,0.2,Couples
41990,4,Tegalalang Rice Terrace,3,0.0,2,10.0,1,2,24156.0,1.0,Family
27417,4,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,0.0,Solo
83569,3,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
60440,4,Tegalalang Rice Terrace,2,0.0,1,8.0,1,2,24156.0,1.0,Family
59932,3,Tegalalang Rice Terrace,1,0.0,1,3.0,1,1,24156.0,1.0,Friends
3468,4,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,1.0,Friends
75352,3,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
57688,4,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,0.0,Couples
50799,4,Tegalalang Rice Terrace,3,0.0,1,13.0,1,3,24156.0,0.0,Couples
10965,4,Tegalalang Rice Terrace,2,0.0,1,9.0,1,2,24156.0,0.0,Solo
77534,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,1.0,Friends
66653,3,Tegalalang Rice Terrace,4,0.0,1,12.0,1,4,24156.0,0.0,Couples
66710,4,Tegalalang Rice Terrace,2,0.0,1,9.0,1,2,24156.0,0.0,Couples
33423,4,Tegalalang Rice Terrace,2,0.0,2,10.0,1,1,24156.0,0.0,Couples
29041,3,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
25405,3,Tegalalang Rice Terrace,1,0.0,1,2.0,1,1,24156.0,1.0,Friends
11897,4,Tegalalang Rice Terrace,2,0.0,2,4.0,1,1,24156.0,0.0,Couples
38201,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Couples
27932,3,Tegalalang Rice Terrace,4,0.0,1,18.0,1,4,24156.0,0.0,Couples
68307,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Couples
80185,4,Tegalalang Rice Terrace,2,0.0,1,7.0,1,2,24156.0,0.0,Couples
37062,4,Tegalalang Rice Terrace,1,0.0,1,1.0,1,1,24156.0,0.0,Couples
57441,3,Tegalalang Rice Terrace,2,0.0,1,7.0,1,2,24156.0,0.0,Couples
47574,4,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,1.0,Family
71925,3,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
69171,4,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
6105,4,Tegalalang Rice Terrace,2,0.0,1,7.0,1,2,24156.0,0.0,Couples
4260,3,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,0.0,Couples
43586,4,Tegalalang Rice Terrace,2,0.0,1,8.0,1,2,24156.0,0.0,Solo
56841,3,Tegalalang Rice Terrace,2,0.0,2,2.0,1,1,24156.0,0.5,Business
6697,3,Tegalalang Rice Terrace,4,0.0,2,13.0,1,3,24156.0,0.0,Couples
30970,4,Tegalalang Rice Terrace,2,0.0,1,6.0,1,2,24156.0,1.0,Family
78287,3,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Solo
17047,4,Tegalalang Rice Terrace,2,0.0,1,8.0,1,2,24156.0,1.0,Friends
84395,3,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Family
36122,3,Tegalalang Rice Terrace,1,0.0,1,1.0,1,1,24156.0,0.0,Solo
80117,1,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,0.0,Couples
23063,3,Tegalalang Rice Terrace,2,0.0,1,6.0,1,2,24156.0,1.0,Family
3487,4,Tegalalang Rice Terrace,5,0.0,1,20.0,1,5,24156.0,0.4,Friends
13271,3,Tegalalang Rice Terrace,3,0.0,2,14.0,1,2,24156.0,1.0,Friends
88164,3,Tegalalang Rice Terrace,3,0.0,1,12.0,1,3,24156.0,1.0,Friends
44807,3,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,1.0,Friends
62636,3,Tegalalang Rice Terrace,8,0.0,1,36.0,1,6,24156.0,0.25,Couples
65313,3,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Couples
49408,3,Tegalalang Rice Terrace,2,0.0,2,10.0,1,1,24156.0,0.0,Solo
34445,2,Tegalalang Rice Terrace,4,0.0,3,13.0,1,2,24156.0,0.25,Couples
27658,3,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,1.0,Friends
65782,3,Tegalalang Rice Terrace,2,0.0,1,6.0,1,2,24156.0,1.0,Friends
70967,3,Tegalalang Rice Terrace,9,0.1111111111111111,1,42.0,1,3,24156.0,0.4444444444444444,Couples
13621,3,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Friends
32107,3,Tegalalang Rice Terrace,3,0.0,1,9.0,1,3,24156.0,1.0,Friends
60363,3,Tegalalang Rice Terrace,5,0.0,3,23.0,1,2,24156.0,0.0,Couples
38422,3,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,0.0,Solo
68171,3,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,1.0,Family
3363,3,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,1.0,Friends
22115,3,Tegalalang Rice Terrace,4,0.0,2,19.0,1,3,24156.0,0.0,Couples
41580,3,Tegalalang Rice Terrace,2,0.0,1,10.0,1,2,24156.0,1.0,Friends
36567,3,Tegalalang Rice Terrace,11,0.0909090909090909,3,39.0,1,5,24156.0,0.0,Couples
56430,2,Tegalalang Rice Terrace,1,0.0,1,4.0,1,1,24156.0,0.0,Solo
85081,3,Tegalalang Rice Terrace,1,0.0,1,3.0,1,1,24156.0,0.0,Couples
24399,3,Tegalalang Rice Terrace,3,0.0,2,15.0,1,2,24156.0,1.0,Friends
76880,3,Tegalalang Rice Terrace,5,0.0,1,23.0,1,4,24156.0,0.6,Couples
57922,2,Tegalalang Rice Terrace,1,0.0,1,5.0,1,1,24156.0,1.0,Family
